state,program,identifier,begin,end,break,;,if,(,),else_if,else,int,integer,",",=,print_line,string,number_literal,>,<,==,!=,<=,>=,+,-,/,*,++,display,for,while,$,S,PROGRAM,IDENTIFIER,BLOCK,STATEMENT,STMT,IF_BLOCK,IF_STMT,ELSE_IF_STMT,NEW_ELSE_IF,ELSE_STMT,TYPE,COMPARISON_STMT,ASSIGNMENT,ASSIGN,ASSIGN��,EQUAL,ASSIGNED,ASSIGNED��,NUMORID,PRINT,STRING,NUMBER,COMPARISON_OP,ARITHOP,INCREMENTALOP,DISPLAY,FOR_STMT,WHILE_STMT
0,s2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,acc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,s4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,s6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,r2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,r29,,,,,s20,,,,,s21,s22,,,s16,,,,,,,,,,,,,,s17,s18,s19,,,,,,7,,8,14,,,,15,,9,,,,,,,10,,,,,,11,12,13
7,,,,s23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,r29,,r17,s31,,s20,,,,,s21,s22,,,s16,,,,,,,,,,,,,,s17,s18,s19,,,,,,,24,25,14,,,,15,,26,,,,,,,27,,,,,,28,29,30
9,,r29,,r17,s31,,s20,,,,,s21,s22,,,s16,,,,,,,,,,,,,,s17,s18,s19,,,,,,,32,25,14,,,,15,,26,,,,,,,27,,,,,,28,29,30
10,,r29,,r17,s31,,s20,,,,,s21,s22,,,s16,,,,,,,,,,,,,,s17,s18,s19,,,,,,,33,25,14,,,,15,,26,,,,,,,27,,,,,,28,29,30
11,,r29,,r17,s31,,s20,,,,,s21,s22,,,s16,,,,,,,,,,,,,,s17,s18,s19,,,,,,,34,25,14,,,,15,,26,,,,,,,27,,,,,,28,29,30
12,,r29,,r17,s31,,s20,,,,,s21,s22,,,s16,,,,,,,,,,,,,,s17,s18,s19,,,,,,,35,25,14,,,,15,,26,,,,,,,27,,,,,,28,29,30
13,,r29,,r17,s31,,s20,,,,,s21,s22,,,s16,,,,,,,,,,,,,,s17,s18,s19,,,,,,,36,25,14,,,,15,,26,,,,,,,27,,,,,,28,29,30
14,,r18,,r18,r18,,r18,,,s39,s40,r18,r18,,,r18,,,,,,,,,,,,,,r18,r18,r18,,,,,,,,,,37,,38,,,,,,,,,,,,,,,,,,
15,,s43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,,,,,,,,,,,41,,,,,,,,,,,,,,
16,,,,,,,,s44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,s45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,s46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,s47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,s48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,r27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,r28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,,,r4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,r29,,r17,s31,,s20,,,,,s21,s22,,,s16,,,,,,,,,,,,,,s17,s18,s19,,,,,,,49,25,14,,,,15,,26,,,,,,,27,,,,,,28,29,30
26,,r29,,r17,s31,,s20,,,,,s21,s22,,,s16,,,,,,,,,,,,,,s17,s18,s19,,,,,,,50,25,14,,,,15,,26,,,,,,,27,,,,,,28,29,30
27,,r29,,r17,s31,,s20,,,,,s21,s22,,,s16,,,,,,,,,,,,,,s17,s18,s19,,,,,,,51,25,14,,,,15,,26,,,,,,,27,,,,,,28,29,30
28,,r29,,r17,s31,,s20,,,,,s21,s22,,,s16,,,,,,,,,,,,,,s17,s18,s19,,,,,,,52,25,14,,,,15,,26,,,,,,,27,,,,,,28,29,30
29,,r29,,r17,s31,,s20,,,,,s21,s22,,,s16,,,,,,,,,,,,,,s17,s18,s19,,,,,,,53,25,14,,,,15,,26,,,,,,,27,,,,,,28,29,30
30,,r29,,r17,s31,,s20,,,,,s21,s22,,,s16,,,,,,,,,,,,,,s17,s18,s19,,,,,,,54,25,14,,,,15,,26,,,,,,,27,,,,,,28,29,30
31,,,,,,s55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,,,r5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,,r6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,,,r7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,,r8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,,,r9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,r19,,r19,r19,,r19,,,,s40,r19,r19,,,r19,,,,,,,,,,,,,,r19,r19,r19,,,,,,,,,,,,56,,,,,,,,,,,,,,,,,,
38,,r20,,r20,r20,,r20,,,,,r20,r20,,,r20,,,,,,,,,,,,,,r20,r20,r20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,,,,,,s57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,s59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,,,,,,,,,,,,,,,,,,,,,,,,,
41,,,,,,s60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,,,,r36,,,,,,,,r36,s62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,,,,,,,,,,,,
43,,,,,,r2,,,,,,,,r2,r2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,,,s64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,,,,,,,
45,,,,,,,,,,,,,,,,,s65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,r29,,,,,,,,,,s21,s22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,,66,,,,,,,,,,,,,,,
47,,s73,,,,,,,,,,,,,,,,s72,,,,,,,,,,,,,,,,,,71,,,,,,,,,,68,,,,,,,69,,,70,,,,,,
48,,s73,,,,,,,,,,,,,,,,s72,,,,,,,,,,,,,,,,,,71,,,,,,,,,,74,,,,,,,69,,,70,,,,,,
49,,,,r10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,,,r11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,,,r12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,,,r13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,,,r14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,,,r15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,,,r16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,r21,,r21,r21,,r21,,,,,r21,r21,,,r21,,,,,,,,,,,,,,r21,r21,r21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,s73,,,,,,,,,,,,,,,,s72,,,,,,,,,,,,,,,,,,71,,,,,,,,,,75,,,,,,,69,,,70,,,,,,
58,,r26,,r26,r26,,r26,,,,,r26,r26,,,r26,,,,,,,,,,,,,,r26,r26,r26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,r29,,,,,s20,,,,,s21,s22,,,s16,,,,,,,,,,,,,,s17,s18,s19,,,,,,76,,8,14,,,,15,,9,,,,,,,10,,,,,,11,12,13
60,,r31,,r31,r31,,r31,,,,,r31,r31,,,r31,,,,,,,,,,,,,,r31,r31,r31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,,,,,r34,,,,,,,,s78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,,,,,,,,,,,,,
62,,s84,,,,,,,,,,,,,,,,s83,,,,,,,,,,,,,,,,,,82,,,,,,,,,,,,,,,79,,80,,,81,,,,,,
63,,,,,,,,,s85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,,,,,,,,r43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,,,,,,,,s86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,s73,,,,,,,,,,,,,,,,s72,,,,,,,,,,,,,,,,,,71,,,,,,,,,,87,,,,,,,88,,,70,,,,,,
67,,s43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,,,,,,,,,,,89,,,,,,,,,,,,,,
68,,,,,,,,,s90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,,,,,s92,s93,s94,s95,s96,s97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,,,,,
70,,,,,,,,,,,,,,,,,,,r40,r40,r40,r40,r40,r40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,,,,,,r41,r41,r41,r41,r41,r41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,,,,,,,,,,,,,,,,,,r44,r44,r44,r44,r44,r44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,,,,,,,,,,,,,,,,,,r2,r2,r2,r2,r2,r2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,,,,,,,,,s98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,,,,,,,,s99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,,,,s100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,,,,,r32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,,s43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,,,,,r34,,,,,,,,s103 / r34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,,,,,,,,,,,,,
80,,,,,,r39,,,,,,,,r39,,,,,,,,,,,s106,s107,s108,s109,,,,,,,,,,,,,,,,,,,,,,,,104,,,,,,105,,,,
81,,,,,,r40,,,,,,,,r40,,,,,,,,,,,r40,r40,r40,r40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,,,,,,r41,,,,,,,,r41,,,,,,,,,,,r41,r41,r41,r41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,,,,,,r44,,,,,,,,r44,,,,,,,,,,,r44,r44,r44,r44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,,,,,,r2,,,,,,,,r2,,,,,,,,,,,r2,r2,r2,r2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,,,,,,s110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,,,,,,s111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,,,,,,s112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,,,,,,,,,,,,,,,,,,,s92,s93,s94,s95,s96,s97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113,,,,,
89,,,,,,s114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,,,s59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115,,,,,,,,,,,,,,,,,,,,,,,,,
91,,s120,,,,,,,,,,,,,,,,s119,,,,,,,,,,,,,,,,,,118,,,,,,,,,,,,,,,,,116,,,117,,,,,,
92,,r45,,,,,,,,,,,,,,,,r45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,,r46,,,,,,,,,,,,,,,,r46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,,r47,,,,,,,,,,,,,,,,r47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,,r48,,,,,,,,,,,,,,,,r48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,,r49,,,,,,,,,,,,,,,,r49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,,r50,,,,,,,,,,,,,,,,r50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,,,s122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121,,,,,,,,,,,,,,,,,,,,,,,,,
99,,,s122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,,,,,,,,,,,,,,,,,,,,,,,,,
100,,r3,,r3,r3,,r3,,,,,r3,r3,,,r3,,,,,,,,,,,,,,r3,r3,r3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,,,,,,r36,,,,,,,,r36,s62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124,,,,,,,,,,,,
102,,,,,,r35,,,,,,,,r35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,,s43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125,,,,,,,,,,,,,,,,,,,,,,,,,,
104,,,,,,r37,,,,,,,,r37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,,s84,,,,,,,,,,,,,,,,s83,,,,,,,,,,,,,,,,,,82,,,,,,,,,,,,,,,,,126,,,81,,,,,,
106,,r51,,,,,,,,,,,,,,,,r51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,,r52,,,,,,,,,,,,,,,,r52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,,r53,,,,,,,,,,,,,,,,r53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,,r54,,,,,,,,,,,,,,,,r54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,,r42,,r42,r42,,r42,,,,,r42,r42,,,r42,,,,,,,,,,,,,,r42,r42,r42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,,r57,,r57,r57,,r57,,,,,r57,r57,,,r57,,,,,,,,,,,,,,r57,r57,r57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
